,Unnamed: 0,fzf,Unnamed: 0.1,fzr,Unnamed: 0.2,steer_angle,Unnamed: 0.3,r,Unnamed: 0.4,psi,Unnamed: 0.5,wheel_angle,Unnamed: 0.6,vx,Unnamed: 0.7,vy,sideslip_f,sideslip_r,fyft,fyrt,fyf,fyr,beta
88,fzf89,5246.64963172391,fzr89,4576.02198392642,ans89,-0.1,r89,-0.0299567124015406,psi89,-0.0161363554101967,wheel_angle89,-0.0074074074074074,xdot89,14.0,ydot89,0.0987463294232953,0.011460689140171293,0.0036265655815556344,-101.01877036705763,25.556675494118206,-101.01213616347798,25.55650743388653,0.007053192282582385
89,fzf90,5246.6418076943,fzr90,4576.02982971972,ans90,-0.1,r90,-0.0301225125422668,psi90,-0.0164367532606695,wheel_angle90,-0.0074074074074074,xdot90,14.0,ydot90,0.100436483974306,0.011564490809488258,0.003728072786533756,-101.93356482247275,26.272049308958962,-101.92674873104086,26.271866737781004,0.007173911498593186
90,fzf91,5246.63395790044,fzr91,4576.03770159137,ans91,-0.1,r91,-0.0302862591647366,psi91,-0.0167387988160641,wheel_angle91,-0.0074074074074074,xdot91,14.0,ydot91,0.102122454630695,0.01166818173811033,0.003829500944614243,-102.84737993732736,26.986868679285195,-102.84037886314859,26.9866707972669,0.0072943316717935915
91,fzf92,5246.62608414952,fzr92,4576.04559772852,ans92,-0.1,r92,-0.0304479865724441,psi92,-0.0170424717133293,wheel_angle92,-0.0074074074074074,xdot92,14.0,ydot92,0.103804022438883,0.011771742542663628,0.003930830178304775,-103.76004488678906,27.700993524588963,-103.75285575159964,27.700779514940255,0.007414437161572037
92,fzf93,5246.61818821138,fzr93,4576.05351635558,ans93,-0.1,r93,-0.0306077283410868,psi93,-0.0173477519287952,wheel_angle93,-0.0074074074074074,xdot93,14.0,ydot93,0.105480976752116,0.011875154519656867,0.004032041298705333,-104.67139484029583,28.41428861506844,-104.66401458387982,28.414057644763908,0.007534212920787961
93,fzf94,5246.61027181876,fzr94,4576.06145573398,ans94,-0.1,r94,-0.0307655173359961,psi94,-0.0176546197709824,wheel_angle94,-0.0074074074074074,xdot94,14.0,ydot94,0.10715311499642,0.011978399627235748,0.004133115787066289,-105.58127080066453,29.12662344173067,-105.57369638224046,29.12637466218451,0.00765364447905327
94,fzf95,5246.60233666759,fzr95,4576.06941416195,ans95,-0.1,r95,-0.0309213857291316,psi95,-0.0179630558735845,wheel_angle95,-0.0074074074074074,xdot95,14.0,ydot95,0.108820242442686,0.012081460467385353,0.004234035776801099,-106.48951944714906,29.837872089697886,-106.48174784672491,29.837604637451353,0.007772717926451546
95,fzf96,5246.59438441729,fzr96,4576.07738997415,ans96,-0.1,r96,-0.0310753650156489,psi96,-0.0182730411886165,wheel_angle96,-0.0074074074074074,xdot96,14.0,ydot96,0.1104821719847,0.012184320268567512,0.004334784035940307,-107.39599298233357,30.547913114622492,-107.38802120202934,30.547626112042007,0.007891419897681724
96,fzf97,5246.58641669106,fzr97,4576.08538154143,ans97,-0.1,r97,-0.0312274860300538,psi97,-0.0185845569797288,wheel_angle97,-0.0074074074074074,xdot97,14.0,ydot97,0.112138723922992,0.012286962868784064,0.004435343950017443,-108.3005489827798,31.256629422145885,-108.2923740481163,31.256321978130188,0.008009737556617292
97,fzf98,5246.57843507624,fzr98,4576.09338727044,ans98,-0.1,r98,-0.0313777789619508,psi98,-0.0188975848156792,wheel_angle98,-0.0074074074074074,xdot98,14.0,ydot98,0.113789725754338,0.012389372699054572,0.004535699505375186,-109.20305025332978,31.963908150317515,-109.19466921448313,31.963579361012187,0.008127658581269149
98,fzf99,5246.57044112469,fzr99,4576.10140560332,ans99,-0.1,r99,-0.0315262733713981,psi99,-0.0192121065639614,wheel_angle99,-0.0074074074074074,xdot99,14.0,ydot99,0.115435011966782,0.012491534767298994,0.0046358352728819805,-110.10336468497904,32.669640554906245,-110.09477461799982,32.669289504424015,0.008245171149142616
99,fzf100,5246.56243635311,fzr100,4576.10943501729,ans100,-0.1,r100,-0.0316729982038787,psi100,-0.0195281043845841,wheel_angle100,-0.0074074074074074,xdot100,14.0,ydot100,0.117074423840025,0.012593434642614646,0.004735736392048226,-111.00136511622472,33.37372189752621,-110.9925631242212,33.373347658671534,0.0083622639229777
100,fzf101,5246.55442224351,fzr101,4576.1174740243,ans101,-0.1,r101,-0.0318179818048965,psi101,-0.0198455607239992,wheel_angle101,-0.0074074074074074,xdot101,14.0,ydot101,0.118707809251059,0.012695058439939119,0.004835388555533478,-111.89692919782,34.07605133651775,-111.88791241210497,34.07565297151424,0.008478926036863906
101,fzf102,5246.54640024354,fzr102,4576.12552117059,ans102,-0.1,r102,-0.0319612519342078,psi102,-0.0201644583091733,wheel_angle102,-0.0074074074074074,xdot102,14.0,ydot102,0.120335022484901,0.01279639280508893,0.004934777994034205,-112.789939260838,34.77653182050884,-112.78070484203829,34.77610838172809,0.008595147082719226
102,fzf103,5246.53837176697,fzr103,4576.13357503632,ans103,-0.1,r103,-0.0321028357796973,psi103,-0.0204847801417994,wheel_angle103,-0.0074074074074074,xdot103,14.0,ydot103,0.121955924050302,0.012897424900165353,0.005033891461543333,-113.6802821879765,35.47506998459592,-113.67082732710534,35.47462051528651,0.008710917097124403
103,fzf104,5246.53033819407,fzr104,4576.14163423509,ans104,-0.1,r104,-0.0322427599709073,psi104,-0.0208065094926469,wheel_angle104,-0.0074074074074074,xdot104,14.0,ydot104,0.123570380500301,0.012998142389318446,0.005132716220972407,-114.56784928801898,36.171576049078666,-114.5581712075103,36.17109958409394,0.008826226548503187
104,fzf105,5246.52230087209,fzr105,4576.14969741356,ans105,-0.1,r105,-0.0323810505922288,psi105,-0.0211296298960438,wheel_angle105,-0.0074074074074074,xdot105,14.0,ydot105,0.125178264257503,0.013098533424860982,0.00523124003012789,-115.45253617338273,36.86596372068986,-115.44263212808745,36.86545928721339,0.00894106632463995
105,fzf106,5246.51426111569,fzr106,4576.15776325099,ans106,-0.1,r106,-0.0325177331957639,psi106,-0.02145412514449,wheel_angle106,-0.0074074074074074,xdot106,14.0,ydot106,0.126779453443962,0.013198586633724014,0.005329451128033126,-116.33424264067865,37.558150096259915,-116.32410991882271,37.5576167145275,0.009055427720526156
106,fzf107,5246.50622020738,fzr107,4576.16583045875,ans107,-0.1,r107,-0.0326528328138665,psi107,-0.0217799792833974,wheel_angle107,-0.0074074074074074,xdot107,14.0,ydot107,0.128373831715545,0.013298291104245717,0.005427338221587459,-117.21287255421007,38.24805556875579,-117.20250847831399,38.24749225277285,0.00916930242652686
107,fzf108,5246.49817939801,fzr108,4576.17389777995,ans108,-0.1,r108,-0.0327863739713712,psi108,-0.0221071766059538,wheel_angle108,-0.0074074074074074,xdot108,14.0,ydot108,0.129961288100669,0.013397636373285896,0.005524890472554704,-118.0883337323441,38.935603735640875,-118.07773566010403,38.935009493894285,0.009282682516859486
108,fzf109,5246.49013990722,fzr109,4576.18196398886,ans109,-0.1,r109,-0.0329183806975165,psi109,-0.0224357016481075,wheel_angle109,-0.0074074074074074,xdot109,14.0,ydot109,0.131541716843299,0.013496612413658732,0.005622097484873412,-118.96053783668864,39.62072130949986,-118.949703161819,39.62009514566324,0.00939556043837694
109,fzf110,5246.4821029239,fzr110,4576.19002789056,ans110,-0.1,r110,-0.0330488765375708,psi110,-0.0227655391836698,wheel_angle110,-0.0074074074074074,xdot110,14.0,ydot110,0.133115017250092,0.01359520962187575,0.005718949292280768,-119.82940026400546,40.303338030874414,-119.81832641704307,40.30267894450602,0.009507928999646822
110,fzf111,5246.47406960669,fzr111,4576.19808832039,ans111,-0.1,r111,-0.0331778845641698,psi111,-0.0230966742195321,wheel_angle111,-0.0074074074074074,xdot111,14.0,ydot111,0.134681093541594,0.01369341880619259,0.005815436346243515,-120.69484004080277,40.983386583259865,-120.68352448987271,40.98269357049214,0.009619781360320089
111,fzf112,5246.46604108443,fzr112,4576.20614414352,ans112,-0.1,r112,-0.0333054273883709,psi112,-0.0234290919909953,wheel_angle112,-0.0074074074074074,xdot112,14.0,ydot112,0.136239854707364,0.013791231174951114,0.005911549504187339,-121.55677972053157,41.66080251020484,-121.54521997207493,41.66007456442497,0.00973111102078021
